franchise_owner,seasons_played,wins,losses,ties,win_pct,points_for,points_against,team_names_seen
ian,22,130,153,1,0.46,25792.36,26908.45,BonerLoaf Cunt Pasta; BonerLoafCuntPasta; ButtLordsOfCamillus; DancinOnTheThielen; Grunting Grundles; LA BrucesOf Endicott; StankinAssButtLords; Stone Cold Steve Austin Ekeler; TakeMeToTheHospital; The Future Kings of Trash; The Unclean Spleens
altman,22,150,133,1,0.53,27756.91,27013.41,2CockConnivers; Connive Me Maybe; Conniving Crentists; ConnivingCamJammers; Dick$hinersConnivers; DickShinersConnivers; Khaleesi's Connivers; Ten and Under; The Connivers; The Regressing IdiOTTs.
ott,22,142,142,0,0.5,26558.49,26876.32,#1Stunners; 99 Problems; Cunning Stunts; Kiss my cock; Ottoman Empire; Peter Gunz; TKOSpikes; Urban Ottfitters; Yellow Fever
slater,22,146,137,1,0.516,27796.46,26902.51,Don’t Rock The Goat; Goat
vern,22,139,144,1,0.491,27118.16,26990.63,Los_ticos; the stunods; the_isotopes
trendo,11,78,70,2,0.527,13101.76,12932.62,Dr. Dartmaster; Drinkin' in the Yard; Professor Keystone; The Dartmaster
johnny,22,134,148,2,0.475,26305.63,27066.37,Assbags; Btch McFcky Pants; The Assbags
haigney,22,140,144,0,0.493,26812.19,27143.07,Hags House of Whores; Hags of Hagglestick; KAAAAEEEDDINNGGGGGGG; The Glue Factory; The Horsemasters
winter,22,159,125,0,0.56,28477.6,26778.94,Rancid Dead Corpses; Rancid Douche Cunts; The RDCs
matty,12,64,84,1,0.433,14244.25,15600.2,Food Bag; Leave It Matty; SBU; Team Snake Juice; The Daniel Tigers; The Sound Machines; We Got Worms
z,12,62,98,1,0.388,13330.8,14605.02,Desparados; Desperados; Future Kings of Odds; I'veGotPO; Luck Is Mine; Once & Future Kings; Outlaws; Wizard of Odds
ml,17,107,106,0,0.502,20801.93,20768.19,Banana Slamma!!; Dollar Store Les Snead; I’ll See You Later Walker; King Henry MFers; La Vida Locas; MatsuisHouseofPorn; Russellhustle&bustle; The Non-Factors; Trust the Process
sterbank,18,128,111,0,0.536,24428.62,23468.55,KoroCompany; Slack Jaw`d Redman; Slack-Jaw'd Redman; The Mustard Museum; This is fine
kratz,9,62,46,0,0.574,11978.53,11449.41,HowTheWestWillWin; HowTheWestWon; howthewesTWOn
