season,week,team_key,team_name,opp_key,opp_name,pts_for,pts_against
2004,1,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.1,Hags of Hagglestick,53.0,88.0
2004,1,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.4,TKOSpikes,91.0,78.0
2004,1,101.l.442122.t.6,Goat,101.l.442122.t.10,SBU,77.0,75.0
2004,1,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.5,Rancid Douche Cunts,97.0,55.0
2004,1,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.2,Btch McFcky Pants,88.0,53.0
2004,1,101.l.442122.t.9,Los_ticos,101.l.442122.t.3,The Connivers,104.0,76.0
2004,1,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.7,Grunting Grundles,55.0,97.0
2004,1,101.l.442122.t.10,SBU,101.l.442122.t.6,Goat,75.0,77.0
2004,1,101.l.442122.t.4,TKOSpikes,101.l.442122.t.8,Drinkin' in the Yard,78.0,91.0
2004,1,101.l.442122.t.3,The Connivers,101.l.442122.t.9,Los_ticos,76.0,104.0
2004,2,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.10,SBU,78.0,78.0
2004,2,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.5,Rancid Douche Cunts,78.0,64.0
2004,2,101.l.442122.t.6,Goat,101.l.442122.t.7,Grunting Grundles,99.0,100.0
2004,2,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.6,Goat,100.0,99.0
2004,2,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.3,The Connivers,72.0,87.0
2004,2,101.l.442122.t.9,Los_ticos,101.l.442122.t.4,TKOSpikes,60.0,75.0
2004,2,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.8,Drinkin' in the Yard,64.0,78.0
2004,2,101.l.442122.t.10,SBU,101.l.442122.t.2,Btch McFcky Pants,78.0,78.0
2004,2,101.l.442122.t.4,TKOSpikes,101.l.442122.t.9,Los_ticos,75.0,60.0
2004,2,101.l.442122.t.3,The Connivers,101.l.442122.t.1,Hags of Hagglestick,87.0,72.0
2004,3,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.3,The Connivers,72.0,75.0
2004,3,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.6,Goat,112.0,53.0
2004,3,101.l.442122.t.6,Goat,101.l.442122.t.8,Drinkin' in the Yard,53.0,112.0
2004,3,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.10,SBU,95.0,60.0
