season,team_name,manager
2004,Grunting Grundles,ian
2005,Rancid Douche Cunts,winter
2006,Hags House of Whores,haigney
2007,Goat,slater
2008,DickShinersConnivers,altman
2009,Goat,slater
2010,Goat,Goat
2011,Goat,Goat
2012,Professor Keystone,Joseph Trendowski
2013,The Horsemasters,hags
2014,The Non-Factors,michael
2015,The Horsemasters,hags
2016,Kiss my cock,peterO
2017,The RDCs,Kurt Russel
2018,DickShinersConnivers,five1three
2019,HowTheWestWon,Joshua
2020,Ottoman Empire,peterO
2021,howthewesTWOn,Joshua
2022,the stunods,Matt
2023,the stunods,Matt
2024,the stunods,Matt
2025,The RDCs,Kurt Russel
